,, - MARKET VALUE, - DIVIDEND YIELD, - PER, - PRICE INDEX, - 12M FWD DIVIDEND YIELD (%), - 12 MONTH FORWARD EARN. YIELD, - CURRENT EV / 12M FWD EBIT, - CURRENT EV / 12M FWD EBITDA, - CURRENT EV / 12M FWD SALES,#ERROR, - 12M FWD NET DEBT / EBITDA, - 12M FWD NET DEBT / EV, - 12M FWD PE vs MARKET, - 12M FWD PE vs SECTOR, - 12M FWD PRICE/BOOK, - ADJUSTMENTFACTOR, - ADJUST COEFFICIENT, - DIV PAY DATE, - EX-DIVID DATE, - DIV.PER SHR., - DIV RATE UNADJUST, - DIVIDEND TAX IND, - DIVIDEND TYPE, - DIV RATE UNADJUST, - EARNINGS PER SHR,#ERROR, - HISTORICAL VOLATILITY 5 YEARS, - MARKET VAL BY CO.,#ERROR, - ASK PRICE, - BID PRICE, - PRICE HIGH, - PRICE LOW,#ERROR, - OPENING PRICE, - RETURN IND AS PAID, - TOT RETURN IND, - TURNOVER BY VALUE, - TURNOVER BY VOLUME, - UNADJ. PRICE OPEN, - UNADJUSTED PRICE, - UNADJ. ASK PRICE, - UNADJ. BID PRICE, - UNADJ. PRICE HIGH, - UNADJ. PRICE LOW, - UNADJ. VOLUME, - VOL WGHTD AV PRICE, - BK VAL PS 12M FWD, - EV 12M FWD, - NET INCOME 12M FWD, - PRETAX PRF 12M FWD, - ROE 12M FWD, - SALES 12M FWD, -  - TURNOVER BY VOLUME,#ERROR,#ERROR, - PRICE/EBG2 RATIO, - PRICE/EBG1 RATIO, - P/CSH FLOW RATIO, - PRICE TO BOOK VAL, - , -  (#S), -  (#T), - NUMBER OF SHARES, -  - MARKET VALUE, - PRICE INDEX, - FREE FLOAT NOSH,#ERROR, - TOTAL INTANGIBLE OT ASSETS-NET, - TOTAL INVENTORIES, - CURRENT ASSETS - TOTAL, - TOTAL INVENTORIES, - CASH & SHORT TERM INVESTMENTS, CORP - RECEIVABLES(NET),#ERROR, CORP - SHORT TERM DEBT & CURRENT PORT, CORP - CURRENT LIABILITIES-TOTAL, CORP - WORKING CAPITAL, CORP - LONG TERM DEBT, CORP - TOTAL DEBT, CORP - DEFERRED TAXES,#ERROR, CORP - COMMON STOCK, CORP - PREFERRED STOCK, CORP - TOTAL CAPITAL, CORP - FUNDS FROM OPERATIONS, CORP - NET CASH FLOW-OPERATING ACTIVS, CORP - AMORTIZATION-INTANGIBLE ASSETS,#ERROR, CORP - COMMON DIVIDENDS (CASH), CORP - CASH DIVIDENDS PAID - TOTAL, CORP - NET PROCEEDS FROM SALE/ISSUE C, CORP - NET CASH FLOW - FINANCING, CORP - INCREASE/DECREASE IN CASH/SHOR, CORP - NET SALES OR REVENUES,#ERROR," CORP - SELLING, GENERAL & ADMINISTRAT", CORP - DEPRECIATION/DEPLETION/AMORT, CORP - AMORTIZATION OF INTANGIBLES, CORP - AMORTIZATION OF DEFERRED CHARG, CORP - OPERATING INCOME, CORP - INTEREST EXPENSE ON DEBT,#ERROR, CORP - RESEARCH & DEVELOPMENT, CORP - SALARIES & BENEFITS EXPENSES, CORP - EXTRAORDINARY CREDIT - PRETAX, CORP - EXTRAORDINARY CHARGE - PRETAX, CORP - PRETAX INCOME, CORP - INCOME TAXES,#ERROR, CORP - NET INC BEFORE EXTRA/PFD DIVS, CORP - PREFERRED DIVIDEND REQUIREMENT, CORP - DIVIDENDS PROVIDED/PAID-COMMON, CORP - EARNINGS BEF INTEREST & TAXES, CORP - EBIT & DEPRECIATION, CORP - NET INCOME - BASIC,#ERROR, CORP - EMPLOYEES, CORP - FY1 EPS MEAN EST, CORP - FY2 EPS MEAN EST
214 ,34.87,34566.83,0.95,11.1,315,6.27,13.427,7.488,4.613,1.159,,-0.261,-0.078,0.54,0.59,0.454,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.4381,34566.83,,53.55,53.38,53.72,52.19,,52.53,353.21,353.21,875249,16471.7,15.45,15.7,15.75,15.7,15.8,15.35,56006,53.13,117.67,25271980,4468707,4927426,12.28,30146500,1000,,,NA,NA,6.3,1.03,1,53.38,53.38,2201708,1000000,8991.39,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.54,13.96
215 ,34.32,34016.4,0.97,10.9,310,6.27,13.427,7.37,4.54,1.141,,-0.261,-0.078,0.54,0.59,0.446,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.438,34016.4,,52.7,52.53,54.06,52.53,,53.72,347.59,347.59,508101,9581.1,15.8,15.45,15.5,15.45,15.9,15.45,32577,53.03,117.67,25271980,4468707,4927426,12.28,30146500,1000,,,NA,NA,6.2,1.01,1,52.53,52.53,2201708,1000000,9055.59,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.54,13.96
216 ,33.76,33465.97,0.98,10.7,305,6.27,13.427,7.252,4.467,1.122,,-0.261,-0.078,0.54,0.59,0.439,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.4377,33465.97,,51.85,51.68,52.7,51.51,,52.53,341.97,341.97,353414,6786.5,15.45,15.2,15.25,15.2,15.5,15.15,23075,52.08,117.67,25271980,4468707,4927426,12.28,30146500,1000,,,NA,NA,6.1,1,1,51.68,51.68,2201708,1000000,9102.33,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.54,13.96
217 ,33.87,33576.06,0.98,10.8,306,6.27,13.427,7.276,4.482,1.126,,-0.261,-0.078,0.54,0.59,0.441,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.4374,33576.06,,51.85,51.68,52.36,51.34,,52.19,343.09,343.09,273052,5274.2,15.35,15.25,15.25,15.2,15.4,15.1,17933,51.77,117.67,25271980,4468707,4927426,12.28,30146500,1000,,,NA,NA,6.12,1,1,51.85,51.85,2201708,1000000,9145.35,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.54,13.96
218 ,#N/A,33576.06,0.98,10.8,306,6.27,13.427,7.276,4.482,1.126,,-0.261,-0.078,0.54,0.59,0.441,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.4372,33576.06,,NA,NA,NA,NA,,NA,343.09,343.09,NA,NA,NA,#N/A,NA,NA,NA,NA,NA,NA,117.67,25271980,4468707,4927426,12.28,30146500,1000,,,NA,NA,6.12,1,1,NA,51.85,2201708,1000000,9145.35,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.54,13.96
219 ,#N/A,33576.06,0.98,10.8,306,6.27,13.427,7.276,4.482,1.126,,-0.261,-0.078,0.54,0.59,0.441,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.437,33576.06,,NA,NA,NA,NA,,NA,343.09,343.09,NA,NA,NA,#N/A,NA,NA,NA,NA,NA,NA,117.67,25271980,4468707,4927426,12.28,30146500,1000,,,NA,NA,6.12,1,1,NA,51.85,2201708,1000000,9145.35,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.54,13.96
220 ,#N/A,33576.06,0.98,10.8,306,6.27,13.427,7.276,4.482,1.126,,-0.261,-0.078,0.54,0.59,0.441,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.4367,33576.06,,NA,NA,NA,NA,,NA,343.09,343.09,NA,NA,NA,#N/A,NA,NA,NA,NA,NA,NA,117.67,25271980,4468707,4927426,12.28,30146500,1000,,,NA,NA,6.12,1,1,NA,51.85,2201708,1000000,9145.35,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.54,13.96
221 ,#N/A,33576.06,0.98,10.8,306,6.27,13.427,7.276,4.482,1.126,,-0.261,-0.078,0.54,0.59,0.441,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.4364,33576.06,,NA,NA,NA,NA,,NA,343.09,343.09,NA,NA,NA,#N/A,NA,NA,NA,NA,NA,NA,117.67,25271980,4468707,4927426,12.28,30146500,1000,,,NA,NA,6.12,1,1,NA,51.85,2201708,1000000,9145.35,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.54,13.96
222 ,#N/A,33576.06,0.98,10.8,306,6.27,13.427,7.276,4.482,1.126,,-0.261,-0.078,0.54,0.59,0.441,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.4362,33576.06,,NA,NA,NA,NA,,NA,343.09,343.09,NA,NA,NA,#N/A,NA,NA,NA,NA,NA,NA,117.67,25271980,4468707,4927426,12.28,30146500,1000,,,NA,NA,6.12,1,1,NA,51.85,2201708,1000000,9145.35,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.54,13.96
223 ,#N/A,33576.06,0.98,10.8,306,6.27,13.427,7.276,4.482,1.126,,-0.261,-0.078,0.54,0.59,0.441,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.4363,33576.06,,NA,NA,NA,NA,,NA,343.09,343.09,NA,NA,NA,#N/A,NA,NA,NA,NA,NA,NA,117.67,25271980,4468707,4927426,12.28,30146500,1000,,,NA,NA,6.12,1,1,NA,51.85,2201708,1000000,9145.35,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.54,13.96
224 ,33.54,33245.8,0.99,10.7,303,6.27,13.427,7.205,4.438,1.115,,-0.261,-0.078,0.54,0.59,0.436,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.4363,33245.8,,51.51,51.34,52.53,50.66,,52.36,339.72,339.72,236521,4606.9,15.4,15.1,15.15,15.1,15.45,14.9,15664,51.34,117.67,25271980,4468707,4927426,12.28,30146500,1000,,,NA,NA,6.06,0.99,1,51.34,51.34,2201708,1000000,9111.46,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.54,13.96
225 ,32.76,32475.2,1.01,10.4,296,6.27,13.427,7.04,4.337,1.09,,-0.261,-0.078,0.54,0.59,0.426,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.4363,32475.2,,50.32,50.15,51.68,50.15,,51.51,331.84,331.84,228305,4506,15.15,14.75,14.8,14.75,15.2,14.75,15321,50.67,117.67,25271980,4468707,4927426,12.28,30146500,1000,,,NA,NA,5.92,0.97,1,50.15,50.15,2201708,1000000,9006.82,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.54,13.96
226 ,32.87,32585.29,1.01,10.4,297,6.27,13.427,7.063,4.351,1.093,,-0.261,-0.078,0.54,0.59,0.428,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.4362,32585.29,,50.32,50.15,50.83,49.98,,49.98,332.97,332.97,202575,4019,14.7,14.8,14.8,14.75,14.95,14.7,13665,50.4,117.67,25271980,4468707,4927426,12.28,30146500,1000,,,NA,NA,5.94,0.97,1,50.32,50.32,2201708,1000000,8836.56,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.54,13.96
227 ,33.21,32915.55,1,10.5,300,6.27,13.427,7.134,4.395,1.104,,-0.261,-0.078,0.54,0.59,0.432,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.4362,32915.55,,51,50.83,52.02,50.32,,50.49,336.34,336.34,549963,10776.9,14.85,14.95,15,14.95,15.3,14.8,36643,51.03,117.67,25271980,4468707,4927426,12.28,30146500,1000,,,NA,NA,6,0.98,1,50.83,50.83,2201708,1000000,8609.86,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.54,13.96
228 ,34.21,33906.32,0.97,10.9,309,6.27,13.427,7.347,4.526,1.137,,-0.261,-0.078,0.54,0.59,0.445,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.4363,33906.32,,52.36,52.19,52.7,51.17,,51.51,346.47,346.47,460403,8838.8,15.15,15.4,15.4,15.35,15.5,15.05,30053,52.09,117.67,25271980,4468707,4927426,12.28,30146500,1000,,,NA,NA,6.18,1.01,1,52.36,52.36,2201708,1000000,8685.47,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.54,13.96
229 ,34.1,33796.23,0.97,10.8,308,6.27,13.427,7.323,4.511,1.133,,-0.261,-0.078,0.54,0.59,0.444,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.4363,33796.23,,52.19,52.02,52.7,51.34,,52.36,345.34,345.34,376599,7211.2,15.4,15.35,15.35,15.3,15.5,15.1,24519,52.22,117.67,25271980,4468707,4927426,12.28,30146500,1000,,,NA,NA,6.16,1.01,1,52.19,52.19,2201708,1000000,8721.93,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.54,13.96
230 ,34.32,34016.4,0.97,10.9,310,6.27,13.427,7.37,4.54,1.141,,-0.261,-0.078,0.54,0.59,0.446,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.4363,34016.4,,52.7,52.53,53.89,52.19,,52.7,347.59,347.59,655348,12352.7,15.5,15.45,15.5,15.45,15.85,15.35,42001,53.05,117.67,25271980,4468707,4927426,12.28,30146500,1000,,,NA,NA,6.2,1.01,1,52.53,52.53,2201708,1000000,8712.96,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.54,13.96
231 ,32.43,32144.95,1.02,10.3,292.9,6.159,13.486,6.306,3.855,1.064,,-0.274,-0.093,0.56,0.6,0.415,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.4362,32144.95,,49.64,49.47,53.04,49.13,,52.7,328.47,328.47,765227,15015,15.5,14.6,14.6,14.55,15.6,14.45,51053,50.97,119.64,24911070,4557258,5243996,12.86,30556050,1000,,,NA,NA,5.86,0.96,1,49.64,49.64,2201708,1000000,8683.88,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.45,14.39
232 ,32.43,32144.95,1.02,10.3,292.9,6.159,13.486,6.306,3.855,1.064,,-0.274,-0.093,0.56,0.6,0.415,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.4362,32144.95,,49.81,49.64,50.83,49.3,,49.98,328.47,328.47,566174,11314.8,14.7,14.6,14.65,14.6,14.95,14.5,38472,50.04,119.64,24911070,4557258,5243996,12.86,30556050,1000,,,NA,NA,5.86,0.96,1,49.64,49.64,2201708,1000000,8843.84,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.45,14.39
233 ,32.99,32695.38,1.01,10.5,298,6.159,13.486,6.413,3.921,1.082,,-0.274,-0.093,0.56,0.6,0.422,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.4361,32695.38,,50.49,50.32,50.83,49.81,,50.32,334.09,334.09,288137,5713,14.8,14.85,14.85,14.8,14.95,14.65,19425,50.43,119.64,24911070,4557258,5243996,12.86,30556050,1000,,,NA,NA,5.96,0.97,1,50.49,50.49,2201708,1000000,8839.22,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.45,14.39
234 ,32.32,32034.86,1.03,10.3,291.9,6.159,13.486,6.285,3.842,1.061,,-0.274,-0.093,0.56,0.6,0.414,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.436,32034.86,,49.64,49.47,49.98,49.13,,49.3,327.34,327.34,290108,5866.2,14.5,14.55,14.6,14.55,14.7,14.45,19946,49.45,119.64,24911070,4557258,5243996,12.86,30556050,1000,,,NA,NA,5.84,0.95,1,49.47,49.47,2201708,1000000,8673.67,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.45,14.39
235 ,32.32,32034.86,1.03,10.3,291.9,6.159,13.486,6.285,3.842,1.061,,-0.274,-0.093,0.56,0.6,0.414,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.436,32034.86,,49.64,49.47,50.49,49.3,,49.47,327.34,327.34,266228,5336.5,14.55,14.55,14.6,14.55,14.85,14.5,18145,49.89,119.64,24911070,4557258,5243996,12.86,30556050,1000,,,NA,NA,5.84,0.95,1,49.47,49.47,2201708,1000000,8528.94,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.45,14.39
236 ,32.54,32255.03,1.02,10.3,293.9,6.159,13.486,6.327,3.868,1.068,,-0.274,-0.093,0.56,0.6,0.416,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.4361,32255.03,,49.98,49.81,50.49,49.47,,49.81,329.59,329.59,279530,5586.8,14.65,14.65,14.7,14.65,14.85,14.55,18996,50.03,119.64,24911070,4557258,5243996,12.86,30556050,1000,,,NA,NA,5.88,0.96,1,49.81,49.81,2201708,1000000,8541.64,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.45,14.39
237 ,32.65,32365.12,1.02,10.4,294.9,6.159,13.486,6.349,3.881,1.071,,-0.274,-0.093,0.56,0.6,0.418,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.4361,32365.12,,50.15,49.98,50.49,49.64,,50.32,330.72,330.72,158898,3176.6,14.8,14.7,14.75,14.7,14.85,14.6,10801,50.02,119.64,24911070,4557258,5243996,12.86,30556050,1000,,,NA,NA,5.9,0.96,1,49.98,49.98,2201708,1000000,8599.65,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.45,14.39
238 ,#N/A,32365.12,1.02,10.4,294.9,6.159,13.486,6.349,3.881,1.071,,-0.274,-0.093,0.56,0.6,0.418,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.4361,32365.12,,NA,NA,NA,NA,,NA,330.72,330.72,NA,NA,NA,#N/A,NA,NA,NA,NA,NA,NA,119.64,24911070,4557258,5243996,12.86,30556050,1000,,,NA,NA,5.9,0.96,1,NA,49.98,2201708,1000000,8599.65,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.45,14.39
239 ,33.21,32915.55,1,10.5,300,6.159,13.486,6.455,3.947,1.089,,-0.274,-0.093,0.56,0.6,0.425,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.4361,32915.55,,51,50.83,51.17,49.98,,50.66,336.34,336.34,241547,4757.7,14.9,14.95,15,14.95,15.05,14.7,16177,50.77,119.64,24911070,4557258,5243996,12.86,30556050,1000,,,NA,NA,6,0.98,1,50.83,50.83,2201708,1000000,8727.56,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.45,14.39
240 ,32.87,32585.29,1.01,10.4,297,6.159,13.486,6.391,3.907,1.079,,-0.274,-0.093,0.56,0.6,0.421,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.4361,32585.29,,50.49,50.32,51.34,50.15,,50.32,332.97,332.97,224464,4421.9,14.8,14.8,14.85,14.8,15.1,14.75,15035,50.76,119.64,24911070,4557258,5243996,12.86,30556050,1000,,,NA,NA,5.94,0.97,1,50.32,50.32,2201708,1000000,8619.9,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.45,14.39
241 ,33.43,33135.71,0.99,10.6,302,6.159,13.486,6.498,3.973,1.097,,-0.274,-0.093,0.56,0.6,0.428,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.436,33135.71,,51.34,51.17,51.51,50.66,,51,338.59,338.59,274629,5364.2,15,15.05,15.1,15.05,15.15,14.9,18239,51.19,119.64,24911070,4557258,5243996,12.86,30556050,1000,,,NA,NA,6.04,0.99,1,51.17,51.17,2201708,1000000,8738.37,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.45,14.39
242 ,33.32,33025.63,1,10.6,301,6.159,13.486,6.477,3.96,1.093,,-0.274,-0.093,0.56,0.6,0.426,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,4.82,,0.436,33025.63,,51.17,51,52.53,51,,52.02,337.47,337.47,302334,5835.6,15.3,15,15.05,15,15.45,15,19842,51.81,119.64,24911070,4557258,5243996,12.86,30556050,1000,,,NA,NA,6.02,0.98,1,51,51,2201708,1000000,8784.4,93,,2474408,5009390,20212369,5009390,8110880,6676946,,1745081,7505259,12707110,6649816,8394897,-1247555,,22053084,0,40338007,5490667,4236719,394948,,549694,549694,36900,-2668674,-732898,24973097,,2524677,2825237,0,394948,2560957,253834,,403156,4145727,45300,0,2388738,698123,,1667810,0,0,2635466,5460703,1667810,,8100,13.45,14.39
