,, - MARKET VALUE, - DIVIDEND YIELD, - PER, - PRICE INDEX, - 12M FWD DIVIDEND YIELD (%), - 12 MONTH FORWARD EARN. YIELD, - CURRENT EV / 12M FWD EBIT, - CURRENT EV / 12M FWD EBITDA, - CURRENT EV / 12M FWD SALES,#ERROR, - 12M FWD NET DEBT / EBITDA, - 12M FWD NET DEBT / EV, - 12M FWD PE vs MARKET, - 12M FWD PE vs SECTOR, - 12M FWD PRICE/BOOK, - ADJUSTMENTFACTOR, - ADJUST COEFFICIENT, - DIV PAY DATE, - EX-DIVID DATE, - DIV.PER SHR., - DIV RATE UNADJUST, - DIVIDEND TAX IND, - DIVIDEND TYPE, - DIV RATE UNADJUST, - EARNINGS PER SHR,#ERROR, - HISTORICAL VOLATILITY 5 YEARS, - MARKET VAL BY CO.,#ERROR, - ASK PRICE, - BID PRICE, - PRICE HIGH, - PRICE LOW,#ERROR, - OPENING PRICE, - RETURN IND AS PAID, - TOT RETURN IND, - TURNOVER BY VALUE, - TURNOVER BY VOLUME, - UNADJ. PRICE OPEN, - UNADJUSTED PRICE, - UNADJ. ASK PRICE, - UNADJ. BID PRICE, - UNADJ. PRICE HIGH, - UNADJ. PRICE LOW, - UNADJ. VOLUME, - VOL WGHTD AV PRICE, - BK VAL PS 12M FWD, - EV 12M FWD, - NET INCOME 12M FWD, - PRETAX PRF 12M FWD, - ROE 12M FWD, - SALES 12M FWD, -  - TURNOVER BY VOLUME,#ERROR,#ERROR, - PRICE/EBG2 RATIO, - PRICE/EBG1 RATIO, - P/CSH FLOW RATIO, - PRICE TO BOOK VAL, - , -  (#S), -  (#T), - NUMBER OF SHARES, -  - MARKET VALUE, - PRICE INDEX, - FREE FLOAT NOSH,#ERROR, - TOTAL INTANGIBLE OT ASSETS-NET, - TOTAL INVENTORIES, - CURRENT ASSETS - TOTAL, - TOTAL INVENTORIES, - CASH & SHORT TERM INVESTMENTS, CORP - RECEIVABLES(NET),#ERROR, CORP - SHORT TERM DEBT & CURRENT PORT, CORP - CURRENT LIABILITIES-TOTAL, CORP - WORKING CAPITAL, CORP - LONG TERM DEBT, CORP - TOTAL DEBT, CORP - DEFERRED TAXES,#ERROR, CORP - COMMON STOCK, CORP - PREFERRED STOCK, CORP - TOTAL CAPITAL, CORP - FUNDS FROM OPERATIONS, CORP - NET CASH FLOW-OPERATING ACTIVS, CORP - AMORTIZATION-INTANGIBLE ASSETS,#ERROR, CORP - COMMON DIVIDENDS (CASH), CORP - CASH DIVIDENDS PAID - TOTAL, CORP - NET PROCEEDS FROM SALE/ISSUE C, CORP - NET CASH FLOW - FINANCING, CORP - INCREASE/DECREASE IN CASH/SHOR, CORP - NET SALES OR REVENUES,#ERROR," CORP - SELLING, GENERAL & ADMINISTRAT", CORP - DEPRECIATION/DEPLETION/AMORT, CORP - AMORTIZATION OF INTANGIBLES, CORP - AMORTIZATION OF DEFERRED CHARG, CORP - OPERATING INCOME, CORP - INTEREST EXPENSE ON DEBT,#ERROR, CORP - RESEARCH & DEVELOPMENT, CORP - SALARIES & BENEFITS EXPENSES, CORP - EXTRAORDINARY CREDIT - PRETAX, CORP - EXTRAORDINARY CHARGE - PRETAX, CORP - PRETAX INCOME, CORP - INCOME TAXES,#ERROR, CORP - NET INC BEFORE EXTRA/PFD DIVS, CORP - PREFERRED DIVIDEND REQUIREMENT, CORP - DIVIDENDS PROVIDED/PAID-COMMON, CORP - EARNINGS BEF INTEREST & TAXES, CORP - EBIT & DEPRECIATION, CORP - NET INCOME - BASIC,#ERROR, CORP - EMPLOYEES, CORP - FY1 EPS MEAN EST, CORP - FY2 EPS MEAN EST
11 ,31.42,31386.54,1.05,46.6,286.9,3.755,9.308,16.938,4.97,1.327,,-0.396,NA,0.76,0.79,0.506,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,1.04,,0.4566,31386.54,,NA,48.62,48.62,46.41,,47.6,318.29,318.29,1010504,21135.9,14,14.3,NA,14.3,14.3,13.65,71865,NA,96.09,9608922,2565777,2787753,7.06,24863250,1000,,,NA,NA,4.28,0.99,1,48.62,48.62,2194862,1000000,8171.94,100,,2458287,5207918,21127982,5207918,8706614,6499385,,2125167,10032288,11095694,8112025,10237192,-1643483,,22017084,0,39983061,7330770,6146870,371859,,0,0,0,-2732895,-1348612,27313823,,2598593,3188815,0,371859,4886103,249952,,381529,4261937,89370,156212,4916733,740632,,4147537,0,549694,5148668,8337483,4147537,,10419,9.31,6.07
12 ,33.07,33032.68,0.99,49,302,3.755,9.308,17.783,5.218,1.394,,-0.396,NA,0.76,0.79,0.533,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,1.04,,0.457,33032.68,,51.34,51.17,52.02,48.79,,49.13,334.99,334.99,1112955,21945.9,14.45,15.05,15.1,15.05,15.3,14.35,74619,NA,96.09,9608922,2565777,2787753,7.06,24863250,1000,,,NA,NA,4.51,1.04,1,51.17,51.17,2194862,1000000,8111.57,100,,2458287,5207918,21127982,5207918,8706614,6499385,,2125167,10032288,11095694,8112025,10237192,-1643483,,22017084,0,39983061,7330770,6146870,371859,,0,0,0,-2732895,-1348612,27313823,,2598593,3188815,0,371859,4886103,249952,,381529,4261937,89370,156212,4916733,740632,,4147537,0,549694,5148668,8337483,4147537,,10419,9.31,6.07
13 ,31.31,31276.79,1.05,46.4,285.9,3.755,9.308,16.882,4.953,1.323,,-0.396,NA,0.76,0.79,0.504,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,1.04,,0.4571,31276.79,,48.45,48.28,52.19,47.77,,50.66,317.18,317.18,1034786,20688.3,14.9,14.25,14.25,14.2,15.35,14.05,70343,NA,96.09,9608922,2565777,2787753,7.06,24863250,1000,,,NA,NA,4.27,0.99,1,48.45,48.45,2194862,1000000,7854.22,100,,2458287,5207918,21127982,5207918,8706614,6499385,,2125167,10032288,11095694,8112025,10237192,-1643483,,22017084,0,39983061,7330770,6146870,371859,,0,0,0,-2732895,-1348612,27313823,,2598593,3188815,0,371859,4886103,249952,,381529,4261937,89370,156212,4916733,740632,,4147537,0,549694,5148668,8337483,4147537,,10419,9.31,6.07
14 ,33.4,33361.91,0.98,49.5,305,3.755,9.308,17.952,5.267,1.407,,-0.396,NA,0.76,0.79,0.538,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,1.04,,0.457,33361.91,,NA,51.68,51.68,49.3,,49.64,338.33,338.33,733456,14540.3,14.6,15.2,NA,15.2,15.2,14.5,49439,NA,96.09,9608922,2565777,2787753,7.06,24863250,1000,,,NA,NA,4.55,1.05,1,51.68,51.68,2194862,1000000,7900.42,100,,2458287,5207918,21127982,5207918,8706614,6499385,,2125167,10032288,11095694,8112025,10237192,-1643483,,22017084,0,39983061,7330770,6146870,371859,,0,0,0,-2732895,-1348612,27313823,,2598593,3188815,0,371859,4886103,249952,,381529,4261937,89370,156212,4916733,740632,,4147537,0,549694,5148668,8337483,4147537,,10419,9.31,6.07
15 ,33.84,33800.88,0.97,50.2,309,3.755,9.308,18.177,5.333,1.425,,-0.396,NA,0.76,0.79,0.545,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,1.04,,0.457,33800.88,,52.53,52.36,54.74,52.36,,54.4,342.78,342.78,1475054,27613,16,15.4,15.45,15.4,16.1,15.4,93888,NA,96.09,9608922,2565777,2787753,7.06,24863250,1000,,,NA,NA,4.61,1.07,1,52.36,52.36,2194862,1000000,7990.53,100,,2458287,5207918,21127982,5207918,8706614,6499385,,2125167,10032288,11095694,8112025,10237192,-1643483,,22017084,0,39983061,7330770,6146870,371859,,0,0,0,-2732895,-1348612,27313823,,2598593,3188815,0,371859,4886103,249952,,381529,4261937,89370,156212,4916733,740632,,4147537,0,549694,5148668,8337483,4147537,,10419,9.31,6.07
16 ,33.84,33800.88,0.97,50.2,309,3.755,9.308,18.177,5.333,1.425,,-0.396,NA,0.76,0.79,0.545,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,1.04,,0.4573,33800.88,,52.53,52.36,53.38,51.68,,51.68,342.78,342.78,933811,17752.8,15.2,15.4,15.45,15.4,15.7,15.2,60362,NA,96.09,9608922,2565777,2787753,7.06,24863250,1000,,,NA,NA,4.61,1.07,1,52.36,52.36,2194862,1000000,7978.69,100,,2458287,5207918,21127982,5207918,8706614,6499385,,2125167,10032288,11095694,8112025,10237192,-1643483,,22017084,0,39983061,7330770,6146870,371859,,0,0,0,-2732895,-1348612,27313823,,2598593,3188815,0,371859,4886103,249952,,381529,4261937,89370,156212,4916733,740632,,4147537,0,549694,5148668,8337483,4147537,,10419,9.31,6.07
17 ,34.06,34020.37,0.96,50.5,311,3.755,9.308,18.29,5.366,1.433,,-0.396,NA,0.76,0.79,0.548,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,1.04,,0.4574,34020.37,,52.7,52.53,54.06,51.85,,52.36,345,345,917700,17279.3,15.4,15.5,15.5,15.45,15.9,15.25,58752,NA,96.09,9608922,2565777,2787753,7.06,24863250,1000,,,NA,NA,4.64,1.07,1,52.7,52.7,2194862,1000000,8004.89,100,,2458287,5207918,21127982,5207918,8706614,6499385,,2125167,10032288,11095694,8112025,10237192,-1643483,,22017084,0,39983061,7330770,6146870,371859,,0,0,0,-2732895,-1348612,27313823,,2598593,3188815,0,371859,4886103,249952,,381529,4261937,89370,156212,4916733,740632,,4147537,0,549694,5148668,8337483,4147537,,10419,9.31,6.07
18 ,33.95,33910.63,0.97,50.3,310,3.755,9.308,18.234,5.35,1.429,,-0.396,NA,0.76,0.79,0.547,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,1.04,,0.4574,33910.63,,52.7,52.53,54.06,52.53,,54.06,343.89,343.89,459188,8667.6,15.9,15.45,15.5,15.45,15.9,15.45,29471,NA,96.09,9608922,2565777,2787753,7.06,24863250,1000,,,NA,NA,4.63,1.07,1,52.53,52.53,2194862,1000000,8158.14,100,,2458287,5207918,21127982,5207918,8706614,6499385,,2125167,10032288,11095694,8112025,10237192,-1643483,,22017084,0,39983061,7330770,6146870,371859,,0,0,0,-2732895,-1348612,27313823,,2598593,3188815,0,371859,4886103,249952,,381529,4261937,89370,156212,4916733,740632,,4147537,0,549694,5148668,8337483,4147537,,10419,9.31,6.07
19 ,33.07,33032.68,0.99,49,302,3.755,9.308,17.783,5.218,1.394,,-0.396,NA,0.76,0.79,0.533,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,1.04,,0.4572,33032.68,,51.34,51.17,52.87,51,,52.7,334.99,334.99,815482,15809.3,15.5,15.05,15.1,15.05,15.55,15,53754,NA,96.09,9608922,2565777,2787753,7.06,24863250,1000,,,NA,NA,4.51,1.04,1,51.17,51.17,2194862,1000000,8146.44,100,,2458287,5207918,21127982,5207918,8706614,6499385,,2125167,10032288,11095694,8112025,10237192,-1643483,,22017084,0,39983061,7330770,6146870,371859,,0,0,0,-2732895,-1348612,27313823,,2598593,3188815,0,371859,4886103,249952,,381529,4261937,89370,156212,4916733,740632,,4147537,0,549694,5148668,8337483,4147537,,10419,9.31,6.07
20 ,34.17,34130.11,0.96,50.6,312,3.755,9.308,18.346,5.383,1.438,,-0.396,NA,0.76,0.79,0.55,3.4001,NA,NA,NA,0.51,NA,NA,NA,NA,1.04,,0.4573,34130.11,,52.87,52.7,52.87,49.47,,49.64,346.12,346.12,791082,15292.3,14.6,15.55,15.55,15.5,15.55,14.55,51996,NA,96.09,9608922,2565777,2787753,7.06,24863250,1000,,,NA,NA,4.66,1.08,1,52.87,52.87,2194862,1000000,8081.55,100,,2458287,5207918,21127982,5207918,8706614,6499385,,2125167,10032288,11095694,8112025,10237192,-1643483,,22017084,0,39983061,7330770,6146870,371859,,0,0,0,-2732895,-1348612,27313823,,2598593,3188815,0,371859,4886103,249952,,381529,4261937,89370,156212,4916733,740632,,4147537,0,549694,5148668,8337483,4147537,,10419,9.31,6.07
