,, - MARKET VALUE, - DIVIDEND YIELD, - PER, - PRICE INDEX, - 12M FWD DIVIDEND YIELD (%), - 12 MONTH FORWARD EARN. YIELD, - CURRENT EV / 12M FWD EBIT, - CURRENT EV / 12M FWD EBITDA, - CURRENT EV / 12M FWD SALES, - 12M FWD FREE CASH FLOW YLD (%), - 12M FWD NET DEBT / EBITDA, - 12M FWD NET DEBT / EV, - 12M FWD PE vs MARKET, - 12M FWD PE vs SECTOR, - 12M FWD PRICE/BOOK, - ADJUSTMENTFACTOR, - ADJUST COEFFICIENT, - DIV PAY DATE, - EX-DIVID DATE, - DIV.PER SHR., - DIV RATE UNADJUST, - DIVIDEND TAX IND, - DIVIDEND TYPE, - DIV RATE UNADJUST, - EARNINGS PER SHR,#ERROR, - HISTORICAL VOLATILITY 5 YEARS, - MARKET VAL BY CO.,#ERROR, - ASK PRICE, - BID PRICE, - PRICE HIGH, - PRICE LOW,#ERROR, - OPENING PRICE, - RETURN IND AS PAID, - TOT RETURN IND, - TURNOVER BY VALUE, - TURNOVER BY VOLUME, - UNADJ. PRICE OPEN, - UNADJUSTED PRICE, - UNADJ. ASK PRICE, - UNADJ. BID PRICE, - UNADJ. PRICE HIGH, - UNADJ. PRICE LOW, - UNADJ. VOLUME, - VOL WGHTD AV PRICE, - BK VAL PS 12M FWD, - EV 12M FWD, - NET INCOME 12M FWD, - PRETAX PRF 12M FWD, - ROE 12M FWD, - SALES 12M FWD, -  - TURNOVER BY VOLUME,#ERROR,#ERROR, - PRICE/EBG2 RATIO, - PRICE/EBG1 RATIO, - P/CSH FLOW RATIO, - PRICE TO BOOK VAL, - , -  (#S), -  (#T), - NUMBER OF SHARES, -  - MARKET VALUE, - PRICE INDEX, - FREE FLOAT NOSH,#ERROR, - TOTAL INTANGIBLE OT ASSETS-NET, - TOTAL INVENTORIES, - CURRENT ASSETS - TOTAL, - TOTAL INVENTORIES, - CASH & SHORT TERM INVESTMENTS, CORP - RECEIVABLES(NET),#ERROR, CORP - SHORT TERM DEBT & CURRENT PORT, CORP - CURRENT LIABILITIES-TOTAL, CORP - WORKING CAPITAL, CORP - LONG TERM DEBT, CORP - TOTAL DEBT, CORP - DEFERRED TAXES,#ERROR, CORP - COMMON STOCK, CORP - PREFERRED STOCK, CORP - TOTAL CAPITAL, CORP - FUNDS FROM OPERATIONS, CORP - NET CASH FLOW-OPERATING ACTIVS, CORP - AMORTIZATION-INTANGIBLE ASSETS,#ERROR, CORP - COMMON DIVIDENDS (CASH), CORP - CASH DIVIDENDS PAID - TOTAL, CORP - NET PROCEEDS FROM SALE/ISSUE C, CORP - NET CASH FLOW - FINANCING, CORP - INCREASE/DECREASE IN CASH/SHOR, CORP - NET SALES OR REVENUES,#ERROR," CORP - SELLING, GENERAL & ADMINISTRAT", CORP - DEPRECIATION/DEPLETION/AMORT, CORP - AMORTIZATION OF INTANGIBLES, CORP - AMORTIZATION OF DEFERRED CHARG, CORP - OPERATING INCOME, CORP - INTEREST EXPENSE ON DEBT,#ERROR, CORP - RESEARCH & DEVELOPMENT, CORP - SALARIES & BENEFITS EXPENSES, CORP - EXTRAORDINARY CREDIT - PRETAX, CORP - EXTRAORDINARY CHARGE - PRETAX, CORP - PRETAX INCOME, CORP - INCOME TAXES,#ERROR, CORP - NET INC BEFORE EXTRA/PFD DIVS, CORP - PREFERRED DIVIDEND REQUIREMENT, CORP - DIVIDENDS PROVIDED/PAID-COMMON, CORP - EARNINGS BEF INTEREST & TAXES, CORP - EBIT & DEPRECIATION, CORP - NET INCOME - BASIC,#ERROR, CORP - EMPLOYEES, CORP - FY1 EPS MEAN EST, CORP - FY2 EPS MEAN EST
11 ,25.95,314684,0,NA,92.1,1.018,8.198,13.609,3.314,0.891,6.022,0.513,0.184,0.87,0.99,1.006,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.3963,314684,,35.65,35.6,36,35.5,,35.95,106.23,106.23,1006317,28204,35.95,35.65,35.65,35.6,36,35.5,28204,NA,35.45,353960400,25586660,26848220,8.58,473227500,1000,,,NA,NA,3.47,1.17,1,35.65,35.65,8827043,1000000,8171.94,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,2.78,3.22
12 ,25.99,315125.4,0,NA,92.2,1.018,8.198,13.623,3.318,0.892,6.013,0.513,0.184,0.87,0.99,1.007,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.3962,315125.4,,35.75,35.7,36.1,35.35,,35.6,106.38,106.38,1189990,33319,35.6,35.7,35.75,35.7,36.1,35.35,33319,NA,35.45,353960400,25586660,26848220,8.58,473227500,1000,,,NA,NA,3.48,1.18,1,35.7,35.7,8827043,1000000,8111.57,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,2.78,3.22
13 ,25.15,304974.2,0,NA,89.2,1.018,8.198,13.296,3.238,0.87,6.213,0.513,0.184,0.87,0.99,0.975,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.3961,304974.2,,34.6,34.55,35.65,34.55,,35.45,102.95,102.95,1388549,39538,35.45,34.55,34.6,34.55,35.65,34.55,39538,NA,35.45,353960400,25586660,26848220,8.58,473227500,1000,,,NA,NA,3.36,1.14,1,34.55,34.55,8827043,1000000,7854.22,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,2.78,3.22
14 ,25.3,306739.8,0,NA,89.7,1.018,8.198,13.353,3.252,0.874,6.177,0.513,0.184,0.87,0.99,0.98,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.396,306739.8,,34.75,34.7,35.15,34.65,,34.85,103.55,103.55,1027663,29494,34.85,34.75,34.75,34.7,35.15,34.65,29494,NA,35.45,353960400,25586660,26848220,8.58,473227500,1000,,,NA,NA,3.38,1.14,1,34.75,34.75,8827043,1000000,7900.42,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,2.78,3.22
15 ,26.21,317773.6,0,NA,93,1.018,8.198,13.709,3.339,0.897,5.963,0.513,0.184,0.87,0.99,1.016,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.396,317773.6,,36,35.95,36,35.05,,35.05,107.27,107.27,1289925,36291,35.05,36,36,35.95,36,35.05,36291,NA,35.45,353960400,25586660,26848220,8.58,473227500,1000,,,NA,NA,3.51,1.19,1,36,36,8827043,1000000,7990.53,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,2.78,3.22
16 ,26.46,320862.9,0,NA,93.9,1.018,8.198,13.809,3.363,0.904,5.906,0.513,0.184,0.87,0.99,1.025,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.3959,320862.9,,36.4,36.35,36.65,36.1,,36.25,108.32,108.32,2541679,69948,36.25,36.35,36.4,36.35,36.65,36.1,69948,NA,35.45,353960400,25586660,26848220,8.58,473227500,1000,,,NA,NA,3.54,1.2,1,36.35,36.35,8827043,1000000,7978.69,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,2.78,3.22
17 ,27.41,332338.1,0,NA,97.2,1.018,8.198,14.179,3.453,0.928,5.702,0.513,0.184,0.87,0.99,1.062,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.3959,332338.1,,37.7,37.65,38.85,37.6,,38.85,112.19,112.19,5979826,156807,38.85,37.65,37.7,37.65,38.85,37.6,156807,NA,35.45,353960400,25586660,26848220,8.58,473227500,1000,,,NA,NA,3.67,1.24,1,37.65,37.65,8827043,1000000,8004.89,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,2.78,3.22
18 ,27.48,333220.9,0,NA,97.5,1.018,8.198,14.208,3.46,0.93,5.687,0.513,0.184,0.87,0.99,1.065,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.3959,333220.9,,37.8,37.75,38.3,37.75,,38.2,112.49,112.49,2155103,56875,38.2,37.75,37.8,37.75,38.3,37.75,56875,NA,35.45,353960400,25586660,26848220,8.58,473227500,1000,,,NA,NA,3.68,1.24,1,37.75,37.75,8827043,1000000,8158.14,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,2.78,3.22
19 ,27.12,328807.4,0,NA,96.2,1.018,8.198,14.065,3.425,0.921,5.763,0.513,0.184,0.87,0.99,1.051,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.3957,328807.4,,37.25,37.2,37.85,37.15,,37.75,111,111,1550467,41430,37.75,37.25,37.25,37.2,37.85,37.15,41430,NA,35.45,353960400,25586660,26848220,8.58,473227500,1000,,,NA,NA,3.63,1.23,1,37.25,37.25,8827043,1000000,8146.44,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,2.78,3.22
20 ,26.64,323069.7,0,NA,94.5,1.018,8.198,13.88,3.38,0.908,5.865,0.513,0.184,0.87,0.99,1.033,1,NA,NA,NA,0,NA,NA,NA,NA,0,,0.3956,323069.7,,36.65,36.6,36.9,36.25,,36.25,109.06,109.06,1655238,45178,36.25,36.6,36.65,36.6,36.9,36.25,45178,NA,35.45,353960400,25586660,26848220,8.58,473227500,1000,,,NA,NA,3.56,1.2,1,36.6,36.6,8827043,1000000,8081.55,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,2.78,3.22
