,, - MARKET VALUE, - DIVIDEND YIELD, - PER, - PRICE INDEX, - 12M FWD DIVIDEND YIELD (%), - 12 MONTH FORWARD EARN. YIELD, - CURRENT EV / 12M FWD EBIT, - CURRENT EV / 12M FWD EBITDA, - CURRENT EV / 12M FWD SALES, - 12M FWD FREE CASH FLOW YLD (%), - 12M FWD NET DEBT / EBITDA, - 12M FWD NET DEBT / EV, - 12M FWD PE vs MARKET, - 12M FWD PE vs SECTOR, - 12M FWD PRICE/BOOK, - ADJUSTMENTFACTOR, - ADJUST COEFFICIENT, - DIV PAY DATE, - EX-DIVID DATE, - DIV.PER SHR., - DIV RATE UNADJUST, - DIVIDEND TAX IND, - DIVIDEND TYPE, - DIV RATE UNADJUST, - EARNINGS PER SHR,#ERROR, - HISTORICAL VOLATILITY 5 YEARS, - MARKET VAL BY CO.,#ERROR, - ASK PRICE, - BID PRICE, - PRICE HIGH, - PRICE LOW,#ERROR, - OPENING PRICE, - RETURN IND AS PAID, - TOT RETURN IND, - TURNOVER BY VALUE, - TURNOVER BY VOLUME, - UNADJ. PRICE OPEN, - UNADJUSTED PRICE, - UNADJ. ASK PRICE, - UNADJ. BID PRICE, - UNADJ. PRICE HIGH, - UNADJ. PRICE LOW, - UNADJ. VOLUME, - VOL WGHTD AV PRICE, - BK VAL PS 12M FWD, - EV 12M FWD, - NET INCOME 12M FWD, - PRETAX PRF 12M FWD, - ROE 12M FWD, - SALES 12M FWD, -  - TURNOVER BY VOLUME,#ERROR,#ERROR, - PRICE/EBG2 RATIO, - PRICE/EBG1 RATIO, - P/CSH FLOW RATIO, - PRICE TO BOOK VAL, - , -  (#S), -  (#T), - NUMBER OF SHARES, -  - MARKET VALUE, - PRICE INDEX, - FREE FLOAT NOSH,#ERROR, - TOTAL INTANGIBLE OT ASSETS-NET, - TOTAL INVENTORIES, - CURRENT ASSETS - TOTAL, - TOTAL INVENTORIES, - CASH & SHORT TERM INVESTMENTS, CORP - RECEIVABLES(NET),#ERROR, CORP - SHORT TERM DEBT & CURRENT PORT, CORP - CURRENT LIABILITIES-TOTAL, CORP - WORKING CAPITAL, CORP - LONG TERM DEBT, CORP - TOTAL DEBT, CORP - DEFERRED TAXES,#ERROR, CORP - COMMON STOCK, CORP - PREFERRED STOCK, CORP - TOTAL CAPITAL, CORP - FUNDS FROM OPERATIONS, CORP - NET CASH FLOW-OPERATING ACTIVS, CORP - AMORTIZATION-INTANGIBLE ASSETS,#ERROR, CORP - COMMON DIVIDENDS (CASH), CORP - CASH DIVIDENDS PAID - TOTAL, CORP - NET PROCEEDS FROM SALE/ISSUE C, CORP - NET CASH FLOW - FINANCING, CORP - INCREASE/DECREASE IN CASH/SHOR, CORP - NET SALES OR REVENUES,#ERROR," CORP - SELLING, GENERAL & ADMINISTRAT", CORP - DEPRECIATION/DEPLETION/AMORT, CORP - AMORTIZATION OF INTANGIBLES, CORP - AMORTIZATION OF DEFERRED CHARG, CORP - OPERATING INCOME, CORP - INTEREST EXPENSE ON DEBT,#ERROR, CORP - RESEARCH & DEVELOPMENT, CORP - SALARIES & BENEFITS EXPENSES, CORP - EXTRAORDINARY CREDIT - PRETAX, CORP - EXTRAORDINARY CHARGE - PRETAX, CORP - PRETAX INCOME, CORP - INCOME TAXES,#ERROR, CORP - NET INC BEFORE EXTRA/PFD DIVS, CORP - PREFERRED DIVIDEND REQUIREMENT, CORP - DIVIDENDS PROVIDED/PAID-COMMON, CORP - EARNINGS BEF INTEREST & TAXES, CORP - EBIT & DEPRECIATION, CORP - NET INCOME - BASIC,#ERROR, CORP - EMPLOYEES, CORP - FY1 EPS MEAN EST, CORP - FY2 EPS MEAN EST
64 ,21.47,260397.8,0,392.2,76.2,1.502,10.607,10.635,2.875,0.764,0.966,0.495,0.157,0.75,0.86,0.842,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3996,260397.8,,29.55,29.5,30.65,29.5,,30.25,87.9,87.9,1920128,63935,30.25,29.5,29.55,29.5,30.65,29.5,63935,30.03,35.03,401850100,29334800,30254080,9.26,480716800,1000,,,NA,NA,2.87,0.97,1,29.5,29.5,8827043,1000000,7423.57,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.37,3.27
65 ,20.96,254218.7,0,382.9,74.4,1.502,10.607,10.456,2.827,0.751,0.99,0.495,0.157,0.75,0.86,0.822,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3996,254218.7,,28.85,28.8,29,28.6,,28.8,85.82,85.82,1580902,54897,28.8,28.8,28.85,28.8,29,28.6,54897,28.8,35.03,401850100,29334800,30254080,9.26,480716800,1000,,,NA,NA,2.8,0.95,1,28.8,28.8,8827043,1000000,7329.37,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.37,3.27
66 ,20.67,250687.9,0,377.6,73.3,1.502,10.607,10.354,2.799,0.744,1.004,0.495,0.157,0.75,0.86,0.811,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3996,250687.9,,28.45,28.4,29,28.4,,29,84.63,84.63,1307610,45728,29,28.4,28.45,28.4,29,28.4,45728,28.6,35.03,401850100,29334800,30254080,9.26,480716800,1000,,,NA,NA,2.77,0.93,1,28.4,28.4,8827043,1000000,7254.06,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.37,3.27
67 ,20.71,251129.3,0,378.3,73.5,1.502,10.607,10.367,2.803,0.745,1.002,0.495,0.157,0.75,0.86,0.812,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3996,251129.3,,28.5,28.45,28.8,28.4,,28.45,84.77,84.77,828678,28988,28.45,28.45,28.5,28.45,28.8,28.4,28988,28.59,35.03,401850100,29334800,30254080,9.26,480716800,1000,,,NA,NA,2.77,0.94,1,28.45,28.45,8827043,1000000,7330.74,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.37,3.27
68 ,21.18,256866.9,0,386.9,75.1,1.502,10.607,10.533,2.848,0.757,0.979,0.495,0.157,0.75,0.86,0.831,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3996,256866.9,,29.15,29.1,29.55,28.6,,28.65,86.71,86.71,1036833,35683,28.65,29.1,29.15,29.1,29.55,28.6,35683,29.06,35.03,401850100,29334800,30254080,9.26,480716800,1000,,,NA,NA,2.83,0.96,1,29.1,29.1,8827043,1000000,7439.96,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.37,3.27
69 ,21.47,260397.8,0,392.2,76.2,1.502,10.607,10.635,2.875,0.764,0.966,0.495,0.157,0.75,0.86,0.842,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3996,260397.8,,29.5,29.45,29.6,28.9,,29,87.9,87.9,1025518,34991,29,29.5,29.5,29.45,29.6,28.9,34991,29.31,35.03,401850100,29334800,30254080,9.26,480716800,1000,,,NA,NA,2.87,0.97,1,29.5,29.5,8827043,1000000,7548.48,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.37,3.27
70 ,21.36,259073.6,0,390.2,75.8,1.502,10.607,10.597,2.865,0.761,0.971,0.495,0.157,0.75,0.86,0.838,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3995,259073.6,,29.4,29.35,30,29.3,,29.5,87.46,87.46,1231293,41488,29.5,29.35,29.4,29.35,30,29.3,41488,29.68,35.03,401850100,29334800,30254080,9.26,480716800,1000,,,NA,NA,2.86,0.97,1,29.35,29.35,8827043,1000000,7534.46,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.37,3.27
71 ,22.35,270990.2,0,408.2,79.3,1.502,10.607,10.942,2.958,0.786,0.928,0.495,0.157,0.75,0.86,0.877,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3996,270990.2,,30.7,30.6,31.1,29.85,,30,91.48,91.48,2528740,82550,30,30.7,30.7,30.6,31.1,29.85,82550,30.63,35.03,401850100,29334800,30254080,9.26,480716800,1000,,,NA,NA,2.99,1.01,1,30.7,30.7,8827043,1000000,7608.85,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.37,3.27
72 ,22.64,274520.9,0,413.5,80.3,1.502,10.607,11.044,2.986,0.793,0.916,0.495,0.157,0.75,0.86,0.888,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3996,274520.9,,31.1,31.05,31.25,30.75,,31,92.67,92.67,1385977,44720,31,31.1,31.1,31.05,31.25,30.75,44720,30.99,35.03,401850100,29334800,30254080,9.26,480716800,1000,,,NA,NA,3.03,1.02,1,31.1,31.1,8827043,1000000,7647.25,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.37,3.27
73 ,22.82,276727.7,0,416.8,81,1.502,10.607,11.108,3.003,0.798,0.909,0.495,0.157,0.75,0.86,0.895,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3996,276727.7,,31.4,31.35,32.3,31.35,,32,93.42,93.42,1876522,59093,32,31.35,31.4,31.35,32.3,31.35,59093,31.76,35.03,401850100,29334800,30254080,9.26,480716800,1000,,,NA,NA,3.05,1.03,1,31.35,31.35,8827043,1000000,7639.55,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.37,3.27
74 ,22.31,270548.8,0,407.5,79.1,1.502,10.607,10.929,2.955,0.785,0.93,0.495,0.157,0.75,0.86,0.875,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3996,270548.8,,30.7,30.65,31.6,30.65,,31.4,91.33,91.33,1167274,37706,31.4,30.65,30.7,30.65,31.6,30.65,37706,30.96,35.03,401850100,29334800,30254080,9.26,480716800,1000,,,NA,NA,2.98,1.01,1,30.65,30.65,8827043,1000000,7597.42,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.37,3.27
75 ,22.67,274962.3,0,414.2,80.4,1.502,10.607,11.057,2.989,0.794,0.915,0.495,0.157,0.75,0.86,0.889,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3996,274962.3,,31.15,31.1,31.5,30.75,,30.9,92.82,92.82,1254608,40321,30.9,31.15,31.15,31.1,31.5,30.75,40321,31.12,35.03,401850100,29334800,30254080,9.26,480716800,1000,,,NA,NA,3.03,1.03,1,31.15,31.15,8827043,1000000,7714.51,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.37,3.27
76 ,22.17,268783.4,0,404.9,78.6,1.572,11.022,11.111,2.914,0.771,6.524,0.463,0.157,0.73,0.86,0.857,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3996,268783.4,,30.5,30.45,31.15,30.3,,31.15,90.73,90.73,1031246,33709,31.15,30.45,30.5,30.45,31.15,30.3,33709,30.59,35.51,381030100,29695980,30696050,9.42,487230500,1000,,,NA,NA,2.97,1,1,30.45,30.45,8827043,1000000,7704.52,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.46,3.32
77 ,21.8,264369.9,0,398.2,77.3,1.572,11.022,10.98,2.88,0.762,6.633,0.463,0.157,0.73,0.86,0.843,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3996,264369.9,,30,29.95,30.5,29.95,,30.35,89.24,89.24,1071092,35500,30.35,29.95,30,29.95,30.5,29.95,35500,30.17,35.51,381030100,29695980,30696050,9.42,487230500,1000,,,NA,NA,2.92,0.99,1,29.95,29.95,8827043,1000000,7664.57,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.46,3.32
78 ,21.33,258632.3,0,389.6,75.7,1.572,11.022,10.81,2.835,0.75,6.78,0.463,0.157,0.73,0.86,0.825,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3997,258632.3,,29.35,29.3,29.5,29.15,,29.5,87.31,87.31,1147929,39126,29.5,29.3,29.35,29.3,29.5,29.15,39126,29.34,35.51,381030100,29695980,30696050,9.42,487230500,1000,,,NA,NA,2.85,0.96,1,29.3,29.3,8827043,1000000,7649.83,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.46,3.32
79 ,21.8,264369.9,0,398.2,77.3,1.572,11.022,10.98,2.88,0.762,6.633,0.463,0.157,0.73,0.86,0.843,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3997,264369.9,,29.95,29.9,30.2,29.35,,29.55,89.24,89.24,1137111,38146,29.55,29.95,29.95,29.9,30.2,29.35,38146,29.81,35.51,381030100,29695980,30696050,9.42,487230500,1000,,,NA,NA,2.92,0.99,1,29.95,29.95,8827043,1000000,7712.03,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.46,3.32
80 ,21.62,262163.1,0,394.9,76.7,1.572,11.022,10.915,2.863,0.757,6.689,0.463,0.157,0.73,0.86,0.836,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3997,262163.1,,29.75,29.7,30.25,29.6,,30.2,88.5,88.5,859967,28843,30.2,29.7,29.75,29.7,30.25,29.6,28843,29.82,35.51,381030100,29695980,30696050,9.42,487230500,1000,,,NA,NA,2.89,0.98,1,29.7,29.7,8827043,1000000,7701.29,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.46,3.32
81 ,21.33,258632.3,0,389.6,75.7,1.572,11.022,10.81,2.835,0.75,6.78,0.463,0.157,0.73,0.86,0.825,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3997,258632.3,,29.35,29.3,29.55,29.2,,29.5,87.31,87.31,802553,27322,29.5,29.3,29.35,29.3,29.55,29.2,27322,29.37,35.51,381030100,29695980,30696050,9.42,487230500,1000,,,NA,NA,2.85,0.96,1,29.3,29.3,8827043,1000000,7666.34,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.46,3.32
82 ,21.84,264811.3,0,398.9,77.5,1.572,11.022,10.993,2.883,0.763,6.622,0.463,0.157,0.73,0.86,0.845,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3997,264811.3,,30,29.95,30.1,29.65,,29.7,89.39,89.39,1316704,44005,29.7,30,30,29.95,30.1,29.65,44005,29.92,35.51,381030100,29695980,30696050,9.42,487230500,1000,,,NA,NA,2.92,0.99,1,30,30,8827043,1000000,7761.22,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.46,3.32
83 ,22.42,271872.8,0,409.5,79.5,1.572,11.022,11.202,2.938,0.777,6.45,0.463,0.157,0.73,0.86,0.867,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3997,271872.8,,30.85,30.8,30.95,30.45,,30.5,91.78,91.78,1646140,53578,30.5,30.8,30.85,30.8,30.95,30.45,53578,30.72,35.51,381030100,29695980,30696050,9.42,487230500,1000,,,NA,NA,3,1.01,1,30.8,30.8,8827043,1000000,7787.45,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.46,3.32
84 ,22.27,270107.4,0,406.9,79,1.572,11.022,11.15,2.924,0.774,6.492,0.463,0.157,0.73,0.86,0.862,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3996,270107.4,,30.65,30.6,31.25,30.6,,31.2,91.18,91.18,1205224,39059,31.2,30.6,30.65,30.6,31.25,30.6,39059,30.86,35.51,381030100,29695980,30696050,9.42,487230500,1000,,,NA,NA,2.98,1.01,1,30.6,30.6,8827043,1000000,7748.01,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.46,3.32
85 ,22.42,271872.8,0,409.5,79.5,1.572,11.022,11.202,2.938,0.777,6.45,0.463,0.157,0.73,0.86,0.867,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3996,271872.8,,30.85,30.8,30.9,30.45,,30.75,91.78,91.78,932373,30357,30.75,30.8,30.85,30.8,30.9,30.45,30357,30.71,35.51,381030100,29695980,30696050,9.42,487230500,1000,,,NA,NA,3,1.01,1,30.8,30.8,8827043,1000000,7784.81,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.46,3.32
86 ,22.46,272314.2,0,410.2,79.7,1.572,11.022,11.215,2.942,0.778,6.44,0.463,0.157,0.73,0.86,0.869,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3997,272314.2,,30.9,30.85,31.4,30.7,,31.3,91.93,91.93,2264071,72937,31.3,30.85,30.9,30.85,31.4,30.7,72937,31.04,35.51,381030100,29695980,30696050,9.42,487230500,1000,,,NA,NA,3,1.02,1,30.85,30.85,8827043,1000000,7798.99,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.46,3.32
87 ,22.09,267900.6,0,403.5,78.4,1.572,11.022,11.085,2.907,0.769,6.546,0.463,0.157,0.73,0.86,0.855,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3997,267900.6,,30.35,30.3,30.75,30.25,,30.75,90.44,90.44,950112,31186,30.75,30.35,30.35,30.3,30.75,30.25,31186,30.47,35.51,381030100,29695980,30696050,9.42,487230500,1000,,,NA,NA,2.96,1,1,30.35,30.35,8827043,1000000,7760.63,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.46,3.32
88 ,22.38,271431.6,0,408.9,79.4,1.572,11.022,11.189,2.935,0.776,6.461,0.463,0.157,0.73,0.86,0.866,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3998,271431.6,,30.8,30.75,31,30.5,,30.5,91.63,91.63,882896,28684,30.5,30.75,30.8,30.75,31,30.5,28684,30.78,35.51,381030100,29695980,30696050,9.42,487230500,1000,,,NA,NA,2.99,1.01,1,30.75,30.75,8827043,1000000,7911.68,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.46,3.32
89 ,22.57,273638.3,0,412.2,80.1,1.572,11.022,11.254,2.952,0.781,6.409,0.463,0.157,0.73,0.86,0.873,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3998,273638.3,,31,30.95,31,30,,30.7,92.37,92.37,2401542,78909,30.7,31,31,30.95,31,30,78909,30.41,35.51,381030100,29695980,30696050,9.42,487230500,1000,,,NA,NA,3.02,1.02,1,31,31,8827043,1000000,7957.53,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.46,3.32
90 ,21.98,266576.7,0,401.5,78,1.572,11.022,11.045,2.897,0.766,6.578,0.463,0.157,0.73,0.86,0.85,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3998,266576.7,,30.25,30.2,30.7,30.15,,30.45,89.99,89.99,1460691,48173,30.45,30.2,30.25,30.2,30.7,30.15,48173,30.32,35.51,381030100,29695980,30696050,9.42,487230500,1000,,,NA,NA,2.94,0.99,1,30.2,30.2,8827043,1000000,7972.66,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.46,3.32
91 ,21.87,265252.5,0,399.5,77.6,1.572,11.022,11.006,2.887,0.764,6.611,0.463,0.157,0.73,0.86,0.846,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3998,265252.5,,30.1,30.05,30.5,30,,30.3,89.54,89.54,1189527,39325,30.3,30.05,30.1,30.05,30.5,30,39325,30.25,35.51,381030100,29695980,30696050,9.42,487230500,1000,,,NA,NA,2.93,0.99,1,30.05,30.05,8827043,1000000,7936.85,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.46,3.32
92 ,22.2,269224.8,0,405.5,78.8,1.572,11.022,11.124,2.918,0.772,6.514,0.463,0.157,0.73,0.86,0.859,1,NA,NA,NA,0,NA,NA,NA,NA,0.08,,0.3997,269224.8,,30.55,30.5,30.85,29.8,,29.8,90.88,90.88,2286260,74967,29.8,30.5,30.55,30.5,30.85,29.8,74967,30.5,35.51,381030100,29695980,30696050,9.42,487230500,1000,,,NA,NA,2.97,1,1,30.5,30.5,8827043,1000000,7963.3,87,,14061967,44568106,204985595,44568106,89925756,59988629,,37449118,189378583,15607012,145119155,182568273,-3379370,,88270455,0,427443712,90642817,88852105,1386893,,0,0,4338348,878216,4055180,467157964,,21430708,88276509,681826,705067,10496664,5126179,,6423552,28460231,4049932,63849,8595981,1187894,,6692657,0,3530818,12829108,101105617,6692657,,57396,3.46,3.32
